The	AT the AT-TL the
perjury	NN perjury
Freedom	NN-TL freedom
Rider	NN-TL rider
burning	VBG burn
complaint	NN complaint
juror	NN juror
Ku	NP ku
Klux	NP klux
Klan	NP klan
membership	NN membership
59	CD 59
farmer	NN farmer
Hartselle	NP hartselle
Anniston	NP anniston
interfering	VBG interfere
interstate	JJ interstate
growing	VBG grow
mob's	NN$ mob 's
Greyhound	NP greyhound
Riders	NNS-TL rider
freed	VBN free
wrongdoing	NN wrongdoe
incident	NN incident
Hobart	NP hobart
Grooms	NP groom
jury-tampering	NN jury - tampering
expressing	VBG express
Neither	DTX neither
excused	VBD excuse
masked	VBN mask
lenient	JJ lenient
alternate	NN alternate
formal	JJ formal JJ-HL formal
incidents	NNS incident
connections	NNS connection
KKK	NN kkk
imprisonment	NN imprisonment
130-year	JJ 130 - year
NYU	NN nyu
37-year-old	JJ 37 - year - old
McN.	NP mcn.
Hester	NP hester
dean	NN dean
Graduate	NN-TL graduate
Sciences	NNS-TL science
Carroll	NP carroll
Newsom	NP newsom
Prentice-Hall	NP-TL prentice - hall
Princeton	NP princeton
N.J.	NP n.j.
associated	VBN associate
Asilomar	NP-HL asilomar
Vast	JJ vast
spraying	VBG spray NN spray
endangering	VBG endanger
Buchheister	NP buchheister
Audubon	NP-TL audubon
Society	NN-TL society
handing	VBG hand
loaded	VBN load
8-year-old	JJ 8 - year - old
Convention	NN-TL convention
controls	NNS control VBZ control
borer	NN borer
plague	NN plague
wrecked	VBD wreck
cane	NN cane
crop	NN crop
conservation	NN conservation
mistakes	NNS mistake
Wyoming	NP wyoming
pride	VB pride
scientific	JJ scientific
experiments	NNS experiment
farmers	NNS farmer
forgetting	VBG forget
birds	NNS bird
efficient	JJ efficient
enemies	NNS enemy
insects	NNS insect
rodents	NNS rodent
rid	JJ rid
occasionally	RB occasionally
peck	VB peck
grapes	NNS grape
blueberries	NNS blueberry
urging	VBG urge
restrictions	NNS restriction
Wilderness	NN-TL wilderness
seashore	NN seashore
Reyes	NP-TL reyes
preservation	NN preservation
wetlands	NNS wetland
breed	VB breed
pesticides	NNS pesticide
co-ordination	NN co - ordination
pollution	NN pollution
ratification	NN ratification
convention	NN convention
halt	VB halt
sea	NN sea
oil	NN oil
Reed	NP reed
Rogers	NP rogers
Da	NP da
Fonta	NP fonta
Wild	JJ-TL wild
Sanctuary	NN-TL sanctuary
Marin	NP marin NP-TL marin
officially	RB officially
Livermore	NP livermore
645-acre	JJ 645 - acre
tidelands	NNS tideland
Greenwood	NP-TL greenwood
Olney	NP-TL olney
Kentfield	NP kentfield
inviolate	JJ inviolate
sanctuary	NN sanctuary
animals	NNS animal
Seventeen	CD seventeen
Willy	NP willy
Fiedler	NP fiedler
climbed	VBD climb
cockpit	NN cockpit
installed	VBN instal VBD instal
V-1	NN v-1
rocket-bomb	NN rocket - bomb
attached	VBN attach
underbelly	NN underbelly
Heinkel	NP heinkel
bomber	NN bomber
rolled	VBD roll
runway	NN runway
earth	NN earth
alive	JJ alive
pulse	NN pulse
jet	NN jet
airstrip	NN airstrip
quiet-spoken	JJ quiet - speak
middle-aged	JJ middle - aged
aeronautical	JJ aeronautical
engineer	NN engineer
Lockheed's	NP$ lockheed 's
Missiles	NNS-TL missile
Space	NN-TL space
Sunnyvale	NP sunnyvale
sat	VBD sit
pilots	NNS pilot
crashed	VBN crash
Hitler's	NP$ hitler 's
super-secret	JJ super - secret
Reichenberg	NP reichenberg
unknown	JJ unknown
Allies	NNS-TL ally
rocket-bombs	NNS rocket - bomb
manned	VBN man
warhead	NN warhead
Allied	VBN-TL ally
shipping	NN ship VBG ship
stave	VB stave
Fiedler's	NP$ fiedler 's
Squeezed	VBN squeeze
cubic	JJ cubic
rocket's	NN$ rocket 's
mechanism	NN mechanism
altitude	NN altitude
signaled	VBD signal
roaring	VBG roar
pulse-jet	NN pulse - jet
engine	NN engine
streaked	VBD streak
beneath	IN beneath
pilot	NN pilot
rocket	NN rocket
faint	JJ faint
speck	NN speck
hurtling	VBG hurtle
sky	NN sky
incredible	JJ incredible
420	CD 420
m.p.h.	NNS m.p.h .
beautifully	RB beautifully
valve	NN valve
adjust	VB adjust
fuel	NN fuel
strip	NN strip
Using	VBG use
steering	VBG steer
controlled	VBD control
tail	NN tail
surfaces	NNS surface
wings	NNS wing
equipped	VBN equip
ailerons	NNS aileron
skid	NN skid
bolted	VBN bolt
fuselage	NN fuselage
managed	VBD manage
maneuver	VB maneuver
landing	VBG land
banked	VBD bank
airfield	NN airfield
Moments	NNS moment
skimmed	VBD skim
streamer	NN streamer
dust	NN dust
flights	NNS flight
missiles	NNS missile
Pilots	NNS pilot
steer	VB steer
suicide	NN suicide
dive	NN dive
waterline	NN waterline
crack	JJ crack
halted	VBN halt
Lockheed	NP lockheed
spare	JJ spare
gliders	NNS glider
slow	JJ slow
serene	JJ serene
challenging	JJ challenge
Di	NP di
Massimo	NP massimo
Celebration	NN-TL celebration
Scampini	NP scampini
Arata	NP arata
Casassa	NP casassa
Molinari	NP molinari
Elected	VBN elect
Elios	NP elios
Anderlini	NP anderlini
Attilio	NP attilio
Beronio	NP beronio
Bianco	NP bianco
Frederic	NP frederic
Campagnoli	NP campagnoli
Cervetto	NP cervetto
Armond	NP armond
Martini	NP martini
Duhagon	NP duhagon
Figone	NP figone
Mana	NP mana
Moscone	NP moscone
Calude	NP calude
Perasso	NP perasso
Petrini	NP petrini
Ratto	NP ratto
Reilly	NP reilly
Schweitzer	NP schweitzer
world-famous	JJ world - famous
theologian	NN theologian
endorsed	VBN endorse
Disarmament	NN-TL disarmament
Friends	NNS-TL friend
Quaker	NP quaker
Leading	VBG lead
newer	JJR new
weapons	NNS weapon
otherwise	RB otherwise
dread	NN dread
imply	VB imply
grisly	JJ grisly
abolish	VB abolish
Governments	NNS government
obligated	VBN obligate
aware	JJ aware
ghastly	JJ ghastly
stupidity	NN stupidity
jolt	VB jolt
complacency	NN complacency
operator	NN operator
janitors'	NNS$ janitor '
3300	CD-TL 3300
Shore	NN-TL shore
acquaintance	NN acquaintance
syndicate	NN syndicate
Glimco	NP-HL glimco NP glimco
buddy	NN-HL buddy NN buddy
gangland	NN gangland
buddies	NNS buddy
mob	NN mob
racketeer	NN racketeer
gang	NN gang
gambling	VBG gambling
chiefs	NNS chief
Gus	NP gus
Slim	NP slim
Alex	NP alex
Caesar	NP caesar
DiVarco	NP divarco
Monk	NP monk
Allegretti	NP allegretti
hoodlum	NN hoodlum
Arger	NP arger
$39,000	NNS $ 39,000
Stein's	NP$ stein 's
janitor	NN janitor
Maintenance	NN-TL maintenance
stevedore	NN stevedore
pier	NN pier
Connection	NN-HL connection
probing	VBG probe
prosecutors	NNS prosecutor
attempting	VBG attempt
connect	VB connect
gangsters	NNS gangster
tracing	VBG trace
scrutiny	NN scrutiny
payments	NNS payment NNS-HL payment
543	CD-TL 543
janitors	NNS janitor
workmen	NNS workman
factories	NNS factory
Leavitt	NP leavitt
Liquor	NN-TL liquor
3247	CD-TL 3247
Kedzie	NP-TL kedzie
Dominic	NP dominic
Senese	NP senese
teamster	NN teamster
cousin	NN cousin
Accardo	NP accardo
onetime	JJ onetime
Pesce	NP pesce
deodorant	NN deodorant
Sanitation	NN-TL sanitation
Supply	NN-TL supply
1215	CD-TL 1215
supervise	VB supervise
$1,600	NNS $ 1,600
$12,500	NNS-HL $ 12,500 NNS $ 12,500
Leavitt's	NP$ leavitt 's
warehouseman's	NN$ warehouseman 's
salesman's	NN$ salesman 's
bottling	VBG bottle
workers'	NNS$ worker '
closely	RB closely
$40,000	NNS $ 40,000
repaid	VBN repay
Glimco's	NP$ glimco 's
drivers'	NNS$ driver '
1213-15	CD-TL 1213 - 15
radiation	NN radiation
micro-microcurie	NN micro - microcurie
meter	NN meter
detonation	NN detonation
radioactive	JJ radioactive
occur	VB occur
Curtis	NP curtis
Huff	NP huff
1630	CD-TL 1630
suppressed	VBN suppress
warrant	NN warrant
charging	VBG charge
embezzling	VBG embezzle
undetermined	JJ undetermined
Loan	NN-TL loan
Dearborn	NP-TL dearborn
Lien	NN-HL lien
Huff's	NP$ huff 's
Antone	NP antone
Gregorio	NP gregorio
embezzlement	NN embezzlement
satisfaction	NN satisfaction
mechanic's	NN$ mechanic 's
liens	NNS lien
$109	NNS $ 109
lucrative	JJ lucrative
Charge	NN-HL charge
lists	VBZ-HL list
Blaber	NP blaber
1020	CD-TL 1020
cashed	VBD cash
card	NN card
Bonn	NP-HL bonn
$28,700,000	NNS $ 28,700,000
Greek	JJ greek
Nazi	NP nazi
persecution	NN persecution
Probably	RB probably
hottest	JJT hot
Foods	NNS-TL food NNS food
shares	NNS share
Dallas-headquartered	JJ dallas - headquarter
allotting	VBG allot
explaining	VBG explain
Investors	NNS investor NNS-TL investor
counted	VBD count
lucky	JJ lucky
trading	VBG trade
underwriting	NN underwriting
price	NN price
$12.50	NNS $ 12.50
over-the-counter	JJ over - the - counter
Eppler	NP eppler
Guerin	NP-TL guerin NP guerin
managing	VBG manage
underwriter	NN underwriter
$17	NNS $ 17
$22	NNS $ 22
circulating	VBG circulate
inquiries	NNS inquiry
Letters	NNS letter
reams	NNS ream
wanting	VBG want
185,000	CD 185,000
reserved	VBN reserved
$11.50	NNS $ 11.50
cable	NN cable
Switzerland	NP switzerland
somehow	RB somehow
offering	NN offer VBG offer
subscribe	VB subscribe
Cable	VB cable
translated	VBN translate
E.G.T.	NP e.g.t.
Swiss	JJ swiss
underwriters	NNS underwriter
qualify	VB qualify
regularly	RB regularly
combination	NN combination
boiling	VBG boil
upward	RB upward
kinds	NNS kind
priced	VBN price
roughly	RB roughly
earnings	NNS earning
yield	VB yield NN yield
64-cent	JJ 64 - cent
Second	RB second OD second
chip	NN chip
fancy	NN fancy
investors	NNS investor
lately	RB lately
Frito	NP frito
Lay	NP lie
run-ups	NNS run - up
price-earnings	NNS price - earning
run-up	NN run - up
resistant	JJ resistant
acting	VBG act NN act
ratios	NNS ratio
merger	NN merger
today's	NR$ today 's
depression	NN depression
remain	VB remain
executives	NNS executive
abilities	NNS ability
competitive	JJ competitive
survival	NN survival
fittest	JJT fit
reaching	VBG reach
realizing	VBG realize
second-echelon	NN second - echelon
mergers	NNS merger
pound	VB pound
Morton's	NP$ morton 's
corn	NN corn
Chip-o's	NPS chip - o be
turns	VBZ turn
avid	JJ avid
buyers	NNS buyer
world-wide	RB world - wide
cotton	NN cotton
gin	NN gin
maintain	VB maintain
manufacturer	NN manufacturer
coincidence	NN coincidence
Ginner's	NN$-TL ginner 's
46th	OD 46th
52-year	JJ 52 - year
ginning	VBG gin
weighs	VBZ weigh
tons	NNS ton
proximity	NN proximity
$250,000	NNS $ 250,000
safe	JJ safe
assumption	NN assumption
percentage	NN percentage
gins	NNS gin
contain	VB contain
1896	CD 1896
They've	PPSS+HV they 've
occupied	VBN occupy
22-acre	JJ 22 - acre
1900's	NNS 1900 's
grown	VBN grow
driers	NNS drier
cleaners	NNS cleaner
Dallas-based	JJ dallas - base
Gin	NN-TL gin
1899	CD 1899
smaller	JJR small
1834	CD 1834
Headquarters	NNS headquarter
Factories	NNS factory
Prattville	NP prattville
sells	VBZ sell
cotton-growing	JJ cotton - grow
Hardwicke-Etter	NP-TL hardwicke - etter NP hardwicke - etter
domestic	JJ domestic
Southeastern	JJ-TL southeastern
Cen-Tennial	NN-TL cen - tennial
export	VB export
1900	CD 1900
mill	NN mill
1930	CD 1930
Presently	RB presently
employs	VBZ employ
300-450	CD 300 - 450
Lummus	NP-TL lummus
1912	CD 1912
Factory	NN factory
Moss	NP-TL moss
Gordin	NP-TL gordin NP gordin
Lint	NN-TL lint
Cleaner	NN-TL clean
Unit	NN-TL unit
System	NN-TL system
Ginning	VBG-TL gin
cleaner	JJR clean
cleaning	VBG clean
seed	NN seed
heaters	NNS heater
maker	NN maker
boil	NN boil
extraction	NN extraction
mechanical	JJ mechanical
harvesting	NN harvesting VBG harvesting
drying	VBG dry
Hinckley	NP-TL hinckley
overhead	JJ overhead
burr	NN burr
extractors	NNS extractor
separators	NNS separator
piping	VBG pipe
belt	NN belt
saws	NNS saw
Stacy	NP-TL stacy
belting	NN belt
bearings	NNS bearing
etc.	RB etc .
sizable	JJ sizable
segment	NN segment
slight	JJ slight
doldrums	NNS doldrum
characterized	VBN characterize
Registrations	NNS registration
3,000	CD 3,000
Totaling	VBG total
3,399	CD 3,399
February's	NP$ february 's
2,963	CD 2,963
4,441	CD 4,441
quarter-to-quarter	JJ quarter - to - quarter
comparison	NN comparison
quarter	NN quarter
9,273	CD 9,273
3-month	JJ 3 - month
11,744	CD 11,744
year-to-year	JJ year - to - year
1,212,000	CD 1,212,000
pickup	NN pickup
dealers	NNS dealer
April-June	NP april - june
prompt	VB prompt
makers	NNS maker
production	NN production
compacts	NNS compact
grab	VB grab
larger	JJR large
lower-priced	JJR lower - price
standard	JJ standard NN standard
models	NNS model
Buick	NP buick
Chrysler	NP chrysler
Mercury	NP mercury
gains	NNS gain NNS-HL gain
Sales	NNS-TL sale
Executives	NNS-TL executive
banquet	NN banquet
Sheraton-Dallas	NP-TL sheraton - dallas
winds	VBZ wind
Distributive	JJ-TL distributive
marketing	VBG market
salesmanship	NN salesmanship
supplement	VB supplement
classroom	NN classroom
instruction	NN instruction
fields	NNS field
seniors	NNS senior
Gerald	NP gerald
Owens	NP owens
Isodine	NP-TL isodine
Pharmical	JJ-TL pharmical
Trigg	NP trigg
Arrington	NP arrington
Kaminsky	NP kaminsky
Adams	NP adams
Janice	NP janice
Whitney	NP whitney
Fil	NP fil
Terral	NP terral
Page	NP page NN page
Adamson	NP adamson
Tommie	NP tommie
Paschall	NP paschall
Crozier	NP crozier
Tech.	NP tech .
Paulah	NP paulah
Kestner	NP kestner
Hillcrest	NP hillcrest
Hayes	NP hayes
Shay	NP shay
Satterfield	NP satterfield
Cluck	NP cluck
Deloris	NP deloris
Carrel	NP carrel
Carty	NP carty
Edna	NP edna
Eaton	NP eaton
Neal	NP neal
McLauchlin	NP mclauchlin
Rylie	NP rylie
Seagoville	NP seagoville
Wolverton	NP wolverton
Sharon	NP sharon
Flanagan	NP flanagan
Samuels	NP samuels
Hammond	NP hammond
Ronnie	NP ronnie
Carolyn	NP carolyn
Bert	NP bert
Sunset	NN-TL sunset
Potter	NP potter
Woodrow	NP woodrow
Housing	NN-TL housing
complex	JJ complex NN complex
sweeping	VBG sweep
fringe	NN fringe
Caron	NP caron
Stallard	NP stallard
vice-president	NN vice - president
Mortgage	NN-TL mortgage
gather	VB gather
momentum	NN momentum
lift	VB lift NN lift
peak	NN peak
autumn	NN autumn
Beryl	NP beryl
Sprinkel	NP sprinkel
Trust	NN-TL trust
closing	VBG close
Investment	NN-TL investment
Assn.	NN-TL assn .
Draper	NP draper
Palo	NP palo
Alto	NP alto
venture	NN venture
Gaither	NP-TL gaither
gauntlet	NN gauntlet
communism	NN communism
bluntly	RB bluntly
appropriations	NNS appropriation
pan	NN-HL pan NN pan
conferees	NNS conferee
improvement	NN improvement
cyclical	JJ cyclical
pattern	NN pattern
abrupt	JJ abrupt
Thesis	NN-HL thesis
refuted	VBN-HL refute VBD refute
neo-stagnationist	NN neo - stagnationist
thesis	NN thesis
declaring	VBG declare
pessimism	NN pessimism
questionable	JJ questionable
Rather	IN rather
abortive	JJ abortive
1959-60	CD 1959 - 60
lesson	NN lesson
probability	NN probability
Danger	NN-HL danger
cautioned	VBD caution
excessive	JJ excessive
stimulation	NN stimulation
moderate	JJ moderate
inflation	NN inflation
Reserve	NN-TL reserve
aggressively	RB aggressively
tighten	VB tighten
monetary	JJ monetary
phases	NNS phase
upturn	NN upturn
unsatisfactory	JJ unsatisfactory
1958-60	CD 1958 - 60
inappropriate	JJ inappropriate
retrenching	VBG retrench
resulting	VBG result
steel	NN steel
Sacrifices	NNS-HL sacrifice
dangers	NNS danger
threaten	VB threaten
justify	VB justify
heritage	NN heritage
Clay	NP clay
presently	RB presently
blackmail	NN blackmail
yourself	PPL yourself
sooner	RBR soon
liable	JJ liable
situations	NNS situation
hemisphere	NN hemisphere
erasing	VBG erase
Analysts	NNS analyst
continuation	NN continuation
sank	VBD sink
hoped-for	JJ hope - for
675	CD 675
Dow	NP dow
standing	VBG stand
sidelines	NNS sideline
pivotal	JJ pivotal
routine	JJ routine
snapback	NN snapback
Streeters	NPS streeter
accompanied	VBN accompany
orders	NNS order
durable	JJ durable
Treasury	NN-TL treasury
Dillon	NP dillon
whopping	JJ whop
8%	NN 8 %
paving	VBG pave
lower	JJR low
7.19	CD 7.19
687.87	CD 687.87
1,253	CD 1,253
traded	VBN trade VBD trade
695	CD 695
354	CD 354
highs	NNS high
lows	NNS low
Trading	VBG trading
comparatively	QL comparatively
dull	JJ dull
Volume	NN volume
dipped	VBD dip
3.28	CD 3.28
3.98	CD 3.98
envisioned	VBN envision
1970s	NNS 1970
Peterson	NP peterson
Marketing	VBG-TL marketing
Bell	NP-TL bell
Howell	NP-TL howell
belong	VB belong
industrialist	NN industrialist
creative	JJ creative
unconventional	JJ unconventional
Creations	NNS-HL creation
1970	CD 1970
40%	NN 40 %
expenditures	NNS expenditure
marketed	VBN market
log-jam	NN log - jam
obviously	RB obviously
geometrically	RB geometrically
technology	NN technology
tend	VB tend
equalizers	NNS equalizer
fairly	QL fairly
short-term	NN short - term
dares	VBZ dare
Japanese	JJ japanese
know-how	NN know - how
all-automatic	JJ all - automatic
Exchange	NN-TL exchange
Phelan	NP phelan
exchange	NN exchange
stockholder	NN stockholder
securities	NNS security
Oil	NN-TL oil
$120	NNS $ 120
debentures	NNS debenture
Read	NP read
Gulf's	NN$-TL gulf 's
holdings	NNS holding
2,700,877	CD 2,700,877
surrender	NN surrender
convertible	JJ convertible
923,076	CD 923,076
Due	JJ-HL due
1986	CD-HL 1986 CD 1986
consisted	VBD consist
4-7/8	CD 4 - 7/8
100%	NN 100 %
4-1/2%	NN 4 - 1/2 %
subordinated	VBN subordinate
1991	CD 1991
$70	NNS $ 70
1971	CD 1971
1976	CD 1976
$80	NNS $ 80
1981	CD 1981
$90	NNS $ 90
thereafter	RB thereafter
dwindled	VBD dwindle
1.23	CD 1.23
1.58	CD 1.58
Gains	NNS gain
2-3/4	CD 2 - 3/4
Teleprompter	NP teleprompter
Foil	NN-TL foil
Fairchild	NP fairchild
Camera	NN-TL camera
Kawecki	NP-TL kawecki
Chemical	JJ-TL chemical
2-1/2	CD 2 - 1/2
Diversified	VBN-TL diversify
Growth	NN-TL growth
Something	PN something
dividends	NNS dividend
Answer	NN-HL answer
Write	VB write
custodian	NN custodian
Fundamental	JJ-TL fundamental
Television-Electronics	NN-TL television - electronic
brain	NN brain
programmed	VBN program
irate	JJ irate
shareholders	NNS shareholder
story	NN story
60-day	JJ 60 - day
complaining	VBG complain
squared	VBN square
shareholder	NN shareholder
finds	VBZ find
mistake	NN mistake
Doyle	NP doyle
undertake	VB undertake
selects	VBZ select
queries	NNS query
far-reaching	JJ far - reach
alter	VB alter
movements	NNS movement
satisfactorily	RB satisfactorily
foreseeable	JJ foreseeable
Perlman	NP perlman
Railroads	NNS-TL railroad
merge	VB merge
Round	NN-TL round
O's	NN o be
B	NN b
weaken	VB weaken
Bad	JJ-HL bad
O	NN o
consolidation	NN consolidation
precarious	JJ precarious
1930s	NNS 1930
Tuohy	NP tuohy
cross-examination	NN cross - examination
examiner	NN examiner
ICC	NN icc
rebuffed	VBN rebuff
railroads	NNS railroad
three-way	JJ three - way
O-B	NN o - b
hemisphere's	NN$ hemisphere be
borrowing	NN borrow
rose	VBD rise NN rise
Tuesday's	NR$ tuesday 's
weekly	JJ weekly
$1.1	NNS $ 1.1
90-day	JJ 90 - day
2.325%	NN 2.325 %
2.295%	NN 2.295 %
Consumer	NN consumer
outlook	NN outlook
polled	VBN poll
one-third	NN one - third
resistance	NN resistance
buying	VBG buy NN buy
renting	VBG rent
narrowed	VBN narrow
saturation	NN saturation
Increase	NN-HL increase
Center's	NN$-TL center 's
builders'	NNS$ builder '
Expect	VB expect
presumably	RB presumably
jump	VB jump
1960's	CD$ 1960 's NNS 1960 's
1,257,700	CD 1,257,700
non-farm	NN non - farm
Starts	NNS start
discrepancy	NN discrepancy
Leaders	NNS-HL leader
invited	VBN invite
businessmen	NNS businessman
Elburn	NP-HL elburn
Farm	NN farm
dealer	NN dealer
Houtz	NP houtz
tilts	VBZ tilt
battered	VBN batter
chair	NN chair
pickers	NNS picker
Ehlers	NP ehlers
competitor	NN competitor
50%	NN 50 %
20%	NN 20 %
Though	CS though
experiencing	VBG experience
climbing	VBG climb
Paradoxically	RB paradoxically
slash	VB slash
output	NN output
acreage	NN acreage
lowest	JJT low
fertilizer	NN fertilizer
yields	NNS yield
Fields	NNS field
dense	JJ dense
efficiently	RB efficiently
supports	NNS support
pushing	VBG push
Seven	CD seven
averaging	VBG average
10%	NN 10 %
13%	NN 13 %
retail	JJ retail
14%	NN 14 %
Keeler	NP keeler
Harvester	NP-TL harvester
lag	VB lag
5%	NN 5 %
sections	NNS section
upswing	NN upswe
drought-seared	JJ drought - sear
notable	JJ notable
exceptions	NNS exception
uptrend	NN uptrend
extends	VBZ extend
yardstick	NN yardstick
Farmers	NNS farmer
tractors	NNS tractor
implements	NNS implement
gasoline	NN gasoline
appliances	NNS appliance
chemicals	NNS chemical
haggling	VBG haggle
aren't	BER* be n't
conscious	JJ conscious
Sioux	NPS sioux
Iowa	NP iowa
picker	NN picker
$2,700	NNS $ 2,700
Dealers'	NNS$-HL dealer '
25%	NN 25 %
affects	NNS affect
shipments	NNS shipment
Tractor	NN tractor
Massey-Ferguson	NP massey - ferguson
Ltd.	VBN-TL ltd.
Toronto	NP toronto
2,418	CD 2,418
869	CD 869
Staiger	NP staiger
inventories	NNS inventory
stepped-up	JJ step - up
shortages	NNS shortage
Merritt	NP merritt
Motor	NN-TL motor
demanding	VBG demand
delivery	NN delivery
trailed	VBN trail
year-earlier	JJR year - early
Government's	NN$-TL government 's
feed	NN feed VB feed
grain	NN grain
cutback	NN cutback
planted	VBN plant
Nearly	RB nearly
chiefly	RB chiefly
Total	NN total
forecast	VBN forecast
129%	NN 129 %
1947-49	CD 1947 - 49
